item_no,week,sold
CP8-A-8-22,25,0
CP8-A-8-22,26,132
CP8-A-8-22,27,0
CP8-A-8-22,28,0
CP8-A-8-22,29,0
CP8-A-8-22,30,0
CP8-A-8-22,31,0
CP8-A-8-22,32,0
CP8-A-8-22,33,0
CP8-A-8-22,34,0
CP8-A-8-22,35,0
CP8-A-8-22,36,80
CP8-A-8-22,37,0
CP8-A-8-22,38,0
CP8-A-8-22,39,0
CP8-A-8-22,40,0
CP8-A-8-22,41,0
CP8-A-8-22,42,0
CP8-A-8-22,43,0
CP8-A-8-22,44,180
CP8-A-8-22,45,0
CP8-A-8-22,46,0
CP8-A-8-22,47,0
CP8-A-8-22,48,0
CP8-A-8-22,49,5
CP8-A-8-22,50,0
CP8-A-8-22,51,0
CP8-A-8-22,52,0
CP8-A-8-22,53,0
CP9-A-12-15,0,0
CP9-A-12-15,1,0
CP9-A-12-15,2,0
CP9-A-12-15,3,96
CP9-A-12-15,4,0
CP9-A-12-15,5,0
CP9-A-12-15,6,0
CP9-A-12-15,7,0
CP9-A-12-15,8,192
CP9-A-12-15,9,0
CP9-A-12-15,10,0
CP9-A-12-15,11,0
CP9-A-12-15,12,0
CP9-A-12-15,13,0
CP9-A-12-15,14,192
CP9-A-12-15,15,0
CP9-A-12-15,16,0
CP9-A-12-15,17,0
CP9-A-12-15,18,0
CP9-A-12-15,19,0
CP9-A-12-15,20,192
CP9-A-12-15,21,0
CP9-A-12-15,22,192
CP9-A-12-15,23,0
CP9-A-12-15,24,0
CP9-A-12-15,25,0
CP9-A-12-15,26,192
CP9-A-12-15,27,0
CP9-A-12-15,28,0
CP9-A-12-15,29,0
CP9-A-12-15,30,0
CP9-A-12-15,31,0
CP9-A-12-15,32,0
CP9-A-12-15,33,0
CP9-A-12-15,34,0
CP9-A-12-15,35,0
CP9-A-12-15,36,0
CP9-A-12-15,37,192
CP9-A-12-15,38,0
CP9-A-12-15,39,0
CP9-A-12-15,40,0
CP9-A-12-15,41,0
CP9-A-12-15,42,0
CP9-A-12-15,43,0
CP9-A-12-15,44,0
CP9-A-12-15,45,0
CP9-A-12-15,46,0
CP9-A-12-15,47,0
CP9-A-12-15,48,0
CP9-A-12-15,49,0
CP9-A-12-15,50,192
CP9-A-12-15,51,0
CP9-A-12-15,52,0
CP9-A-12-15,53,0
CSC-1014C-96010,0,0
CSC-1014C-96010,1,0
CSC-1014C-96010,2,0
CSC-1014C-96010,3,168
CSC-1014C-96010,4,0
CSC-1014C-96010,5,168
CSC-1014C-96010,6,0
CSC-1014C-96010,7,0
CSC-1014C-96010,8,0
CSC-1014C-96010,9,0
CSC-1014C-96010,10,0
CSC-1014C-96010,11,0
CSC-1014C-96010,12,168
CSC-1014C-96010,13,0
CSC-1014C-96010,14,168
CSC-1014C-96010,15,168
CSC-1014C-96010,16,0
CSC-1014C-96010,17,168
CSC-1014C-96010,18,0
CSC-1014C-96010,19,0
CSC-1014C-96010,20,0
CSC-1014C-96010,21,0
CSC-1014C-96010,22,168
CSC-1014C-96010,23,0
CSC-1014C-96010,24,168
CSC-1014C-96010,25,168
CSC-1014C-96010,26,0
CSC-1014C-96010,27,0
CSC-1014C-96010,28,336
CSC-1014C-96010,29,0
CSC-1014C-96010,30,0
CSC-1014C-96010,31,0
CSC-1014C-96010,32,168
CSC-1014C-96010,33,0
CSC-1014C-96010,34,0
CSC-1014C-96010,35,0
CSC-1014C-96010,36,252
CSC-1014C-96010,37,0
CSC-1014C-96010,38,336
CSC-1014C-96010,39,0
CSC-1014C-96010,40,0
CSC-1014C-96010,41,0
CSC-1014C-96010,42,0
CSC-1014C-96010,43,0
CSC-1014C-96010,44,420
CSC-1014C-96010,45,0
CSC-1014C-96010,46,0
CSC-1014C-96010,47,168
CSC-1014C-96010,48,0
CSC-1014C-96010,49,0
CSC-1014C-96010,50,168
CSC-1014C-96010,51,252
CSC-1014C-96010,52,168
CSC-1014C-96010,53,0
DP13-9589582,0,36
DP13-9589582,1,36
DP13-9589582,2,0
DP13-9589582,3,0
DP13-9589582,4,48
DP13-9589582,5,24
DP13-9589582,6,36
DP13-9589582,7,72
DP13-9589582,8,0
DP13-9589582,9,0
DP13-9589582,10,36
DP13-9589582,11,36
DP13-9589582,12,36
DP13-9589582,13,0
DP13-9589582,14,48
DP13-9589582,15,0
DP13-9589582,16,24
DP13-9589582,17,0
DP13-9589582,18,0
DP13-9589582,19,0
DP13-9589582,20,0
DP13-9589582,21,0
DP13-9589582,22,48
DP13-9589582,23,0
DP13-9589582,24,0
DP13-9589582,25,60
DP13-9589582,26,0
DP13-9589582,27,0
DP13-9589582,28,24
DP13-9589582,29,36
DP13-9589582,30,0
DP13-9589582,31,0
DP13-9589582,32,0
DP13-9589582,33,48
DP13-9589582,34,0
DP13-9589582,35,24
DP13-9589582,36,0
DP13-9589582,37,24
DP13-9589582,38,0
DP13-9589582,39,0
DP13-9589582,40,36
DP13-9589582,41,0
DP13-9589582,42,24
DP13-9589582,43,0
DP13-9589582,44,36
DP13-9589582,45,0
DP13-9589582,46,0
DP13-9589582,47,0
DP13-9589582,48,24
DP13-9589582,49,0
DP13-9589582,50,36
DP13-9589582,51,0
DP13-9589582,52,0
DP13-9589582,53,0
DP13-STD-12244,0,0
DP13-STD-12244,1,0
DP13-STD-12244,2,0
DP13-STD-12244,3,0
DP13-STD-12244,4,0
DP13-STD-12244,5,0
DP13-STD-12244,6,0
DP13-STD-12244,7,0
DP13-STD-12244,8,0
DP13-STD-12244,9,0
DP13-STD-12244,10,0
DP13-STD-12244,11,0
DP13-STD-12244,12,0
DP13-STD-12244,13,0
DP13-STD-12244,14,0
DP13-STD-12244,15,0
DP13-STD-12244,16,0
DP13-STD-12244,17,0
DP13-STD-12244,18,6
DP13-STD-12244,19,0
DP13-STD-12244,20,0
DP13-STD-12244,21,0
DP13-STD-12244,22,0
DP13-STD-12244,23,168
DP13-STD-12244,24,0
DP13-STD-12244,25,0
DP13-STD-12244,26,72
DP13-STD-12244,27,0
DP13-STD-12244,28,0
DP13-STD-12244,29,23
DP13-STD-12244,30,72
DP13-STD-12244,31,0
DP13-STD-12244,32,6
DP13-STD-12244,33,0
DP13-STD-12244,34,72
DP13-STD-12244,35,0
DP13-STD-12244,36,0
DP13-STD-12244,37,0
DP13-STD-12244,38,120
DP13-STD-12244,39,0
DP13-STD-12244,40,0
DP13-STD-12244,41,0
DP13-STD-12244,42,0
DP13-STD-12244,43,72
DP13-STD-12244,44,0
DP13-STD-12244,45,0
DP13-STD-12244,46,0
DP13-STD-12244,47,72
DP13-STD-12244,48,0
DP13-STD-12244,49,0
DP13-STD-12244,50,0
DP13-STD-12244,51,0
DP13-STD-12244,52,96
DP13-STD-12244,53,48
DP13-STD-16202,0,0
DP13-STD-16202,1,0
DP13-STD-16202,2,0
DP13-STD-16202,3,0
DP13-STD-16202,4,0
DP13-STD-16202,5,0
DP13-STD-16202,6,0
DP13-STD-16202,7,24
DP13-STD-16202,8,0
DP13-STD-16202,9,0
DP13-STD-16202,10,0
DP13-STD-16202,11,0
DP13-STD-16202,12,0
DP13-STD-16202,13,200
DP13-STD-16202,14,200
DP13-STD-16202,15,0
DP13-STD-16202,16,0
DP13-STD-16202,17,0
DP13-STD-16202,18,0
DP13-STD-16202,19,0
DP13-STD-16202,20,48
DP13-STD-16202,21,0
DP13-STD-16202,22,0
DP13-STD-16202,23,0
DP13-STD-16202,24,0
DP13-STD-16202,25,0
DP13-STD-16202,26,0
DP13-STD-16202,27,0
DP13-STD-16202,28,0
DP13-STD-16202,29,0
DP13-STD-16202,30,0
DP13-STD-16202,31,0
DP13-STD-16202,32,24
DP13-STD-16202,33,0
DP13-STD-16202,34,0
DP13-STD-16202,35,60
DP13-STD-16202,36,36
DP13-STD-16202,37,12
DP13-STD-16202,38,24
DP13-STD-16202,39,0
DP13-STD-16202,40,12
DP13-STD-16202,41,0
DP13-STD-16202,42,12
DP13-STD-16202,43,36
DP13-STD-16202,44,0
DP13-STD-16202,45,0
DP13-STD-16202,46,12
DP13-STD-16202,47,0
DP13-STD-16202,48,0
DP13-STD-16202,49,0
DP13-STD-16202,50,24
DP13-STD-16202,51,12
DP13-STD-16202,52,6
DP13-STD-16202,53,0
DP13-STD-16252,0,4
DP13-STD-16252,1,246
DP13-STD-16252,2,0
DP13-STD-16252,3,0
DP13-STD-16252,4,0
DP13-STD-16252,5,0
DP13-STD-16252,6,0
DP13-STD-16252,7,0
DP13-STD-16252,8,4
DP13-STD-16252,9,0
DP13-STD-16252,10,0
DP13-STD-16252,11,0
DP13-STD-16252,12,0
DP13-STD-16252,13,21
DP13-STD-16252,14,21
DP13-STD-16252,15,0
DP13-STD-16252,16,0
DP13-STD-16252,17,4
DP13-STD-16252,18,0
DP13-STD-16252,19,0
DP13-STD-16252,20,0
DP13-STD-16252,21,0
DP13-STD-16252,22,48
DP13-STD-16252,23,0
DP13-STD-16252,24,12
DP13-STD-16252,25,4
DP13-STD-16252,26,0
DP13-STD-16252,27,0
DP13-STD-16252,28,0
DP13-STD-16252,29,0
DP13-STD-16252,30,0
DP13-STD-16252,31,0
DP13-STD-16252,32,24
DP13-STD-16252,33,40
DP13-STD-16252,34,0
DP13-STD-16252,35,96
DP13-STD-16252,36,0
DP13-STD-16252,37,24
DP13-STD-16252,38,108
DP13-STD-16252,39,0
DP13-STD-16252,40,0
DP13-STD-16252,41,60
DP13-STD-16252,42,0
DP13-STD-16252,43,100
DP13-STD-16252,44,24
DP13-STD-16252,45,0
DP13-STD-16252,46,24
DP13-STD-16252,47,0
DP13-STD-16252,48,96
DP13-STD-16252,49,24
DP13-STD-16252,50,72
DP13-STD-16252,51,0
DP13-STD-16252,52,12
DP13-STD-16252,53,0
DP13-STD-20202,0,28
DP13-STD-20202,1,24
DP13-STD-20202,2,0
DP13-STD-20202,3,0
DP13-STD-20202,4,0
DP13-STD-20202,5,0
DP13-STD-20202,6,0
DP13-STD-20202,7,0
DP13-STD-20202,8,28
DP13-STD-20202,9,96
DP13-STD-20202,10,24
DP13-STD-20202,11,0
DP13-STD-20202,12,0
DP13-STD-20202,13,400
DP13-STD-20202,14,400
DP13-STD-20202,15,0
DP13-STD-20202,16,16
DP13-STD-20202,17,28
DP13-STD-20202,18,0
DP13-STD-20202,19,24
DP13-STD-20202,20,10
DP13-STD-20202,21,0
DP13-STD-20202,22,12
DP13-STD-20202,23,0
DP13-STD-20202,24,0
DP13-STD-20202,25,28
DP13-STD-20202,26,24
DP13-STD-20202,27,0
DP13-STD-20202,28,0
DP13-STD-20202,29,0
DP13-STD-20202,30,0
DP13-STD-20202,31,0
DP13-STD-20202,32,0
DP13-STD-20202,33,28
DP13-STD-20202,34,0
DP13-STD-20202,35,24
DP13-STD-20202,36,72
DP13-STD-20202,37,0
DP13-STD-20202,38,72
DP13-STD-20202,39,0
DP13-STD-20202,40,24
DP13-STD-20202,41,12
DP13-STD-20202,42,12
DP13-STD-20202,43,64
DP13-STD-20202,44,36
DP13-STD-20202,45,0
DP13-STD-20202,46,36
DP13-STD-20202,47,0
DP13-STD-20202,48,0
DP13-STD-20202,49,12
DP13-STD-20202,50,72
DP13-STD-20202,51,12
DP13-STD-20202,52,12
DP13-STD-20202,53,24
DP13-STD-20242,0,0
DP13-STD-20242,1,24
DP13-STD-20242,2,0
DP13-STD-20242,3,0
DP13-STD-20242,4,0
DP13-STD-20242,5,0
DP13-STD-20242,6,0
DP13-STD-20242,7,0
DP13-STD-20242,8,0
DP13-STD-20242,9,0
DP13-STD-20242,10,48
DP13-STD-20242,11,48
DP13-STD-20242,12,0
DP13-STD-20242,13,0
DP13-STD-20242,14,0
DP13-STD-20242,15,0
DP13-STD-20242,16,24
DP13-STD-20242,17,0
DP13-STD-20242,18,0
DP13-STD-20242,19,0
DP13-STD-20242,20,12
DP13-STD-20242,21,0
DP13-STD-20242,22,0
DP13-STD-20242,23,55
DP13-STD-20242,24,0
DP13-STD-20242,25,19
DP13-STD-20242,26,60
DP13-STD-20242,27,0
DP13-STD-20242,28,0
DP13-STD-20242,29,0
DP13-STD-20242,30,24
DP13-STD-20242,31,0
DP13-STD-20242,32,0
DP13-STD-20242,33,0
DP13-STD-20242,34,0
DP13-STD-20242,35,0
DP13-STD-20242,36,24
DP13-STD-20242,37,0
DP13-STD-20242,38,24
DP13-STD-20242,39,36
DP13-STD-20242,40,0
DP13-STD-20242,41,0
DP13-STD-20242,42,0
DP13-STD-20242,43,0
DP13-STD-20242,44,60
DP13-STD-20242,45,0
DP13-STD-20242,46,36
DP13-STD-20242,47,0
DP13-STD-20242,48,0
DP13-STD-20242,49,26
DP13-STD-20242,50,0
DP13-STD-20242,51,0
DP13-STD-20242,52,0
DP13-STD-20242,53,0
DP13-STD-20252,0,40
DP13-STD-20252,1,0
DP13-STD-20252,2,0
DP13-STD-20252,3,0
DP13-STD-20252,4,0
DP13-STD-20252,5,12
DP13-STD-20252,6,0
DP13-STD-20252,7,0
DP13-STD-20252,8,40
DP13-STD-20252,9,48
DP13-STD-20252,10,153
DP13-STD-20252,11,0
DP13-STD-20252,12,12
DP13-STD-20252,13,79
DP13-STD-20252,14,79
DP13-STD-20252,15,0
DP13-STD-20252,16,0
DP13-STD-20252,17,40
DP13-STD-20252,18,0
DP13-STD-20252,19,0
DP13-STD-20252,20,12
DP13-STD-20252,21,0
DP13-STD-20252,22,0
DP13-STD-20252,23,0
DP13-STD-20252,24,0
DP13-STD-20252,25,40
DP13-STD-20252,26,0
DP13-STD-20252,27,24
DP13-STD-20252,28,0
DP13-STD-20252,29,0
DP13-STD-20252,30,0
DP13-STD-20252,31,0
DP13-STD-20252,32,12
DP13-STD-20252,33,40
DP13-STD-20252,34,84
DP13-STD-20252,35,0
DP13-STD-20252,36,12
DP13-STD-20252,37,0
DP13-STD-20252,38,24
DP13-STD-20252,39,0
DP13-STD-20252,40,0
DP13-STD-20252,41,48
DP13-STD-20252,42,12
DP13-STD-20252,43,112
DP13-STD-20252,44,12
DP13-STD-20252,45,0
DP13-STD-20252,46,0
DP13-STD-20252,47,0
DP13-STD-20252,48,0
DP13-STD-20252,49,0
DP13-STD-20252,50,12
DP13-STD-20252,51,0
DP13-STD-20252,52,12
DP13-STD-20252,53,48
DP13-STD-24242,0,84
DP13-STD-24242,1,2
DP13-STD-24242,2,0
DP13-STD-24242,3,0
DP13-STD-24242,4,0
DP13-STD-24242,5,48
DP13-STD-24242,6,0
DP13-STD-24242,7,48
DP13-STD-24242,8,72
DP13-STD-24242,9,89
DP13-STD-24242,10,0
DP13-STD-24242,11,0
DP13-STD-24242,12,0
DP13-STD-24242,13,0
DP13-STD-24242,14,72
DP13-STD-24242,15,0
DP13-STD-24242,16,12
DP13-STD-24242,17,72
DP13-STD-24242,18,48
DP13-STD-24242,19,0
DP13-STD-24242,20,132
DP13-STD-24242,21,0
DP13-STD-24242,22,12
DP13-STD-24242,23,84
DP13-STD-24242,24,0
DP13-STD-24242,25,72
DP13-STD-24242,26,96
DP13-STD-24242,27,60
DP13-STD-24242,28,12
DP13-STD-24242,29,0
DP13-STD-24242,30,12
DP13-STD-24242,31,48
DP13-STD-24242,32,0
DP13-STD-24242,33,72
DP13-STD-24242,34,0
DP13-STD-24242,35,96
DP13-STD-24242,36,0
DP13-STD-24242,37,14
DP13-STD-24242,38,0
DP13-STD-24242,39,120
DP13-STD-24242,40,0
DP13-STD-24242,41,0
DP13-STD-24242,42,0
DP13-STD-24242,43,72
DP13-STD-24242,44,0
DP13-STD-24242,45,0
DP13-STD-24242,46,12
DP13-STD-24242,47,0
DP13-STD-24242,48,0
DP13-STD-24242,49,18
DP13-STD-24242,50,4
DP13-STD-24242,51,0
DP13-STD-24242,52,0
DP13-STD-24242,53,0
DP40-14281,0,0
DP40-14281,1,0
DP40-14281,2,0
DP40-14281,3,0
DP40-14281,4,0
DP40-14281,5,0
DP40-14281,6,0
DP40-14281,7,0
DP40-14281,8,0
DP40-14281,9,0
DP40-14281,10,0
DP40-14281,11,0
DP40-14281,12,0
DP40-14281,13,0
DP40-14281,14,0
DP40-14281,15,0
DP40-14281,16,0
DP40-14281,17,0
DP40-14281,18,0
DP40-14281,19,0
DP40-14281,20,0
DP40-14281,21,0
DP40-14281,22,0
DP40-14281,23,0
DP40-14281,24,0
DP40-14281,25,0
DP40-14281,26,0
DP40-14281,27,0
DP40-14281,28,0
DP40-14281,29,0
DP40-14281,30,0
DP40-14281,31,0
DP40-14281,32,0
DP40-14281,33,0
DP40-14281,34,144
DP40-14281,35,0
DP40-14281,36,0
DP40-14281,37,0
DP40-14281,38,0
DP40-14281,39,0
DP40-14281,40,144
DP40-14281,41,144
DP40-14281,42,0
DP40-14281,43,0
DP40-14281,44,0
DP40-14281,45,0
DP40-14281,46,0
DP40-14281,47,0
DP40-14281,48,288
DP40-14281,49,0
DP40-14281,50,0
DP40-14281,51,0
DP40-14281,52,0
DP40-14281,53,0
DP40-STD-12122,0,49
DP40-STD-12122,1,0
DP40-STD-12122,2,0
DP40-STD-12122,3,0
DP40-STD-12122,4,0
DP40-STD-12122,5,60
DP40-STD-12122,6,0
DP40-STD-12122,7,0
DP40-STD-12122,8,0
DP40-STD-12122,9,0
DP40-STD-12122,10,11
DP40-STD-12122,11,37
DP40-STD-12122,12,0
DP40-STD-12122,13,0
DP40-STD-12122,14,1
DP40-STD-12122,15,108
DP40-STD-12122,16,0
DP40-STD-12122,17,0
DP40-STD-12122,18,0
DP40-STD-12122,19,0
DP40-STD-12122,20,7
DP40-STD-12122,21,60
DP40-STD-12122,22,0
DP40-STD-12122,23,0
DP40-STD-12122,24,0
DP40-STD-12122,25,0
DP40-STD-12122,26,60
DP40-STD-12122,27,0
DP40-STD-12122,28,0
DP40-STD-12122,29,72
DP40-STD-12122,30,0
DP40-STD-12122,31,0
DP40-STD-12122,32,0
DP40-STD-12122,33,0
DP40-STD-12122,34,36
DP40-STD-12122,35,144
DP40-STD-12122,36,1
DP40-STD-12122,37,0
DP40-STD-12122,38,0
DP40-STD-12122,39,0
DP40-STD-12122,40,0
DP40-STD-12122,41,0
DP40-STD-12122,42,0
DP40-STD-12122,43,0
DP40-STD-12122,44,60
DP40-STD-12122,45,36
DP40-STD-12122,46,0
DP40-STD-12122,47,0
DP40-STD-12122,48,24
DP40-STD-12122,49,0
DP40-STD-12122,50,0
DP40-STD-12122,51,0
DP40-STD-12122,52,0
DP40-STD-12122,53,0
DP40-STD-12242,0,24
DP40-STD-12242,1,396
DP40-STD-12242,2,6
DP40-STD-12242,3,10
DP40-STD-12242,4,12
DP40-STD-12242,5,0
DP40-STD-12242,6,0
DP40-STD-12242,7,276
DP40-STD-12242,8,0
DP40-STD-12242,9,0
DP40-STD-12242,10,24
DP40-STD-12242,11,0
DP40-STD-12242,12,31
DP40-STD-12242,13,312
DP40-STD-12242,14,0
DP40-STD-12242,15,24
DP40-STD-12242,16,0
DP40-STD-12242,17,12
DP40-STD-12242,18,24
DP40-STD-12242,19,0
DP40-STD-12242,20,0
DP40-STD-12242,21,0
DP40-STD-12242,22,0
DP40-STD-12242,23,0
DP40-STD-12242,24,180
DP40-STD-12242,25,176
DP40-STD-12242,26,52
DP40-STD-12242,27,0
DP40-STD-12242,28,0
DP40-STD-12242,29,36
DP40-STD-12242,30,0
DP40-STD-12242,31,24
DP40-STD-12242,32,312
DP40-STD-12242,33,36
DP40-STD-12242,34,0
DP40-STD-12242,35,0
DP40-STD-12242,36,12
DP40-STD-12242,37,0
DP40-STD-12242,38,288
DP40-STD-12242,39,0
DP40-STD-12242,40,0
DP40-STD-12242,41,0
DP40-STD-12242,42,0
DP40-STD-12242,43,24
DP40-STD-12242,44,0
DP40-STD-12242,45,0
DP40-STD-12242,46,0
DP40-STD-12242,47,24
DP40-STD-12242,48,3
DP40-STD-12242,49,0
DP40-STD-12242,50,276
DP40-STD-12242,51,132
DP40-STD-12242,52,0
DP40-STD-12242,53,0
DP40-STD-12244,0,0
DP40-STD-12244,1,0
DP40-STD-12244,2,0
DP40-STD-12244,3,0
DP40-STD-12244,4,0
DP40-STD-12244,5,0
DP40-STD-12244,6,0
DP40-STD-12244,7,0
DP40-STD-12244,8,0
DP40-STD-12244,9,0
DP40-STD-12244,10,60
DP40-STD-12244,11,60
DP40-STD-12244,12,0
DP40-STD-12244,13,84
DP40-STD-12244,14,0
DP40-STD-12244,15,0
DP40-STD-12244,16,0
DP40-STD-12244,17,0
DP40-STD-12244,18,0
DP40-STD-12244,19,0
DP40-STD-12244,20,0
DP40-STD-12244,21,0
DP40-STD-12244,22,0
DP40-STD-12244,23,30
DP40-STD-12244,24,0
DP40-STD-12244,25,0
DP40-STD-12244,26,0
DP40-STD-12244,27,22
DP40-STD-12244,28,0
DP40-STD-12244,29,0
DP40-STD-12244,30,0
DP40-STD-12244,31,120
DP40-STD-12244,32,0
DP40-STD-12244,33,0
DP40-STD-12244,34,0
DP40-STD-12244,35,0
DP40-STD-12244,36,0
DP40-STD-12244,37,84
DP40-STD-12244,38,0
DP40-STD-12244,39,0
DP40-STD-12244,40,0
DP40-STD-12244,41,6
DP40-STD-12244,42,0
DP40-STD-12244,43,0
DP40-STD-12244,44,72
DP40-STD-12244,45,0
DP40-STD-12244,46,66
DP40-STD-12244,47,0
DP40-STD-12244,48,0
DP40-STD-12244,49,0
DP40-STD-12244,50,0
DP40-STD-12244,51,0
DP40-STD-12244,52,0
DP40-STD-12244,53,0
DP40-STD-15202,0,0
DP40-STD-15202,1,0
DP40-STD-15202,2,0
DP40-STD-15202,3,24
DP40-STD-15202,4,0
DP40-STD-15202,5,0
DP40-STD-15202,6,0
DP40-STD-15202,7,0
DP40-STD-15202,8,0
DP40-STD-15202,9,0
DP40-STD-15202,10,192
DP40-STD-15202,11,0
DP40-STD-15202,12,0
DP40-STD-15202,13,0
DP40-STD-15202,14,0
DP40-STD-15202,15,0
DP40-STD-15202,16,0
DP40-STD-15202,17,0
DP40-STD-15202,18,0
DP40-STD-15202,19,0
DP40-STD-15202,20,0
DP40-STD-15202,21,0
DP40-STD-15202,22,0
DP40-STD-15202,23,0
DP40-STD-15202,24,0
DP40-STD-15202,25,0
DP40-STD-15202,26,0
DP40-STD-15202,27,0
DP40-STD-15202,28,0
DP40-STD-15202,29,0
DP40-STD-15202,30,0
DP40-STD-15202,31,240
DP40-STD-15202,32,0
DP40-STD-15202,33,0
DP40-STD-15202,34,0
DP40-STD-15202,35,0
DP40-STD-15202,36,48
DP40-STD-15202,37,0
DP40-STD-15202,38,0
DP40-STD-15202,39,0
DP40-STD-15202,40,0
DP40-STD-15202,41,0
DP40-STD-15202,42,48
DP40-STD-15202,43,24
DP40-STD-15202,44,0
DP40-STD-15202,45,0
DP40-STD-15202,46,0
DP40-STD-15202,47,0
DP40-STD-15202,48,0
DP40-STD-15202,49,0
DP40-STD-15202,50,96
DP40-STD-15202,51,0
DP40-STD-15202,52,60
DP40-STD-15202,53,0
DP40-STD-16162,0,0
DP40-STD-16162,1,0
DP40-STD-16162,2,72
DP40-STD-16162,3,0
DP40-STD-16162,4,0
DP40-STD-16162,5,0
DP40-STD-16162,6,0
DP40-STD-16162,7,168
DP40-STD-16162,8,0
DP40-STD-16162,9,0
DP40-STD-16162,10,0
DP40-STD-16162,11,0
DP40-STD-16162,12,2
DP40-STD-16162,13,0
DP40-STD-16162,14,85
DP40-STD-16162,15,0
DP40-STD-16162,16,0
DP40-STD-16162,17,0
DP40-STD-16162,18,0
DP40-STD-16162,19,0
DP40-STD-16162,20,0
DP40-STD-16162,21,0
DP40-STD-16162,22,0
DP40-STD-16162,23,36
DP40-STD-16162,24,0
DP40-STD-16162,25,0
DP40-STD-16162,26,0
DP40-STD-16162,27,0
DP40-STD-16162,28,0
DP40-STD-16162,29,288
DP40-STD-16162,30,0
DP40-STD-16162,31,0
DP40-STD-16162,32,48
DP40-STD-16162,33,0
DP40-STD-16162,34,0
DP40-STD-16162,35,12
DP40-STD-16162,36,0
DP40-STD-16162,37,24
DP40-STD-16162,38,0
DP40-STD-16162,39,24
DP40-STD-16162,40,0
DP40-STD-16162,41,12
DP40-STD-16162,42,12
DP40-STD-16162,43,0
DP40-STD-16162,44,0
DP40-STD-16162,45,0
DP40-STD-16162,46,12
DP40-STD-16162,47,0
DP40-STD-16162,48,12
DP40-STD-16162,49,0
DP40-STD-16162,50,12
DP40-STD-16162,51,0
DP40-STD-16162,52,0
DP40-STD-16162,53,0
DP40-STD-16202,0,0
DP40-STD-16202,1,0
DP40-STD-16202,2,15
DP40-STD-16202,3,84
DP40-STD-16202,4,0
DP40-STD-16202,5,24
DP40-STD-16202,6,0
DP40-STD-16202,7,228
DP40-STD-16202,8,0
DP40-STD-16202,9,36
DP40-STD-16202,10,264
DP40-STD-16202,11,24
DP40-STD-16202,12,19
DP40-STD-16202,13,0
DP40-STD-16202,14,312
DP40-STD-16202,15,48
DP40-STD-16202,16,60
DP40-STD-16202,17,84
DP40-STD-16202,18,132
DP40-STD-16202,19,0
DP40-STD-16202,20,43
DP40-STD-16202,21,88
DP40-STD-16202,22,60
DP40-STD-16202,23,0
DP40-STD-16202,24,0
DP40-STD-16202,25,0
DP40-STD-16202,26,72
DP40-STD-16202,27,0
DP40-STD-16202,28,21
DP40-STD-16202,29,142
DP40-STD-16202,30,0
DP40-STD-16202,31,564
DP40-STD-16202,32,0
DP40-STD-16202,33,0
DP40-STD-16202,34,48
DP40-STD-16202,35,108
DP40-STD-16202,36,108
DP40-STD-16202,37,96
DP40-STD-16202,38,216
DP40-STD-16202,39,0
DP40-STD-16202,40,0
DP40-STD-16202,41,108
DP40-STD-16202,42,48
DP40-STD-16202,43,108
DP40-STD-16202,44,228
DP40-STD-16202,45,0
DP40-STD-16202,46,0
DP40-STD-16202,47,96
DP40-STD-16202,48,12
DP40-STD-16202,49,144
DP40-STD-16202,50,168
DP40-STD-16202,51,96
DP40-STD-16202,52,84
DP40-STD-16202,53,0
DP40-STD-16252,0,0
DP40-STD-16252,1,0
DP40-STD-16252,2,4
DP40-STD-16252,3,0
DP40-STD-16252,4,11
DP40-STD-16252,5,0
DP40-STD-16252,6,0
DP40-STD-16252,7,0
DP40-STD-16252,8,0
DP40-STD-16252,9,0
DP40-STD-16252,10,1032
DP40-STD-16252,11,720
DP40-STD-16252,12,15
DP40-STD-16252,13,1
DP40-STD-16252,14,1
DP40-STD-16252,15,0
DP40-STD-16252,16,60
DP40-STD-16252,17,0
DP40-STD-16252,18,36
DP40-STD-16252,19,36
DP40-STD-16252,20,0
DP40-STD-16252,21,16
DP40-STD-16252,22,48
DP40-STD-16252,23,0
DP40-STD-16252,24,1
DP40-STD-16252,25,0
DP40-STD-16252,26,12
DP40-STD-16252,27,36
DP40-STD-16252,28,63
DP40-STD-16252,29,96
DP40-STD-16252,30,0
DP40-STD-16252,31,1440
DP40-STD-16252,32,197
DP40-STD-16252,33,96
DP40-STD-16252,34,0
DP40-STD-16252,35,172
DP40-STD-16252,36,48
DP40-STD-16252,37,120
DP40-STD-16252,38,516
DP40-STD-16252,39,0
DP40-STD-16252,40,0
DP40-STD-16252,41,180
DP40-STD-16252,42,180
DP40-STD-16252,43,192
DP40-STD-16252,44,144
DP40-STD-16252,45,120
DP40-STD-16252,46,72
DP40-STD-16252,47,96
DP40-STD-16252,48,312
DP40-STD-16252,49,168
DP40-STD-16252,50,180
DP40-STD-16252,51,36
DP40-STD-16252,52,124
DP40-STD-16252,53,168
DP40-STD-20202,0,48
DP40-STD-20202,1,48
DP40-STD-20202,2,108
DP40-STD-20202,3,60
DP40-STD-20202,4,133
DP40-STD-20202,5,38
DP40-STD-20202,6,0
DP40-STD-20202,7,180
DP40-STD-20202,8,32
DP40-STD-20202,9,132
DP40-STD-20202,10,732
DP40-STD-20202,11,139
DP40-STD-20202,12,240
